rank,name,repository_url,bucket,science_score,project_score,total_citations,category,sub_category,language,owner_login,owner_name,owner_kind,owner_company,owner_website,ecosystems,package_names,monthly_downloads,dependent_repos,dependent_packages,registry_maintainers,stars,archived,days_since_release,days_since_commit,days_since_push,total_committers,past_year_commits,past_year_committers,dds,past_year_dds,issue_maintainers_count,active_maintainers_count,active_maintainers,past_year_issues,past_year_prs,past_year_issues_closed,past_year_prs_merged,advisories,unpatched_advisories,signals,science_html_url
1486,SSN2,https://github.com/usepa/ssn2,active,93.0,9.931199991102664,0,Scientific Software,Peer-reviewed,R,USEPA,U.S. Environmental Protection Agency,organization,,https://www.epa.gov,cran,SSN2,445,0,1,1,26,0,346,,259,2,43,1,0.14754098360655743,0.0,2,1,michaeldumelle,3,4,3,4,0,0,push:259d release:346d commits:43 active_maint:1 closed:7 merged:4,https://science.ecosyste.ms/projects/571
1487,The Babelizer,https://github.com/csdms/babelizer,active,98.0,4.927253685157205,0,Scientific Software,Peer-reviewed,Python,csdms,Community Surface Dynamics Modeling System,organization,,http://csdms.colorado.edu,conda,babelizer,0,2,0,0,5,0,1608,,66,3,0,0,0.17153284671532842,0.0,2,0,"",0,0,0,0,0,0,push:66d release:1608d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1572
1488,Renard,https://github.com/compnet/renard,active,96.0,6.921658184151128,0,Scientific Software,Peer-reviewed,Python,CompNet,Complex Networks,organization,,http://lia.univ-avignon.fr,pypi,renard-pipeline,38,0,0,1,21,0,435,,71,2,34,1,0.006578947368421018,0.0,0,0,"",0,0,0,0,0,0,push:71d release:435d commits:34 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/632
1489,pide,https://github.com/sinanozaydin/pide,active,95.0,7.914252278742441,0,Scientific Software,Peer-reviewed,Python,sinanozaydin,Sinan Özaydın,user,University of Sydney,https://sinanozaydin.github.io,pypi,pide,37,0,0,1,21,0,406,,7,4,28,2,0.020594965675057253,0.0357142857142857,1,1,sinanozaydin,1,1,0,1,0,0,push:7d release:406d commits:28 active_maint:1 closed:1 merged:1,https://science.ecosyste.ms/projects/326
1490,fuelcell,https://github.com/samaygarg/fuelcell,unknown,95.0,7.90100705199242,0,Scientific Software,Peer-reviewed,Python,samaygarg,Samay Garg,user,,,pypi,fuelcell,43,1,0,1,17,0,2158,,1870,3,0,0,0.03191489361702127,0.0,1,0,"",0,0,0,0,0,0,push:1870d release:2158d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1955
1491,PyEI,https://github.com/mggg/ecological-inference,dormant,93.0,9.900633483553221,0,Scientific Software,Peer-reviewed,Jupyter Notebook,mggg,Metric Geometry and Gerrymandering Group,organization,,https://mggg.org,pypi,pyei,47,1,0,1,35,0,407,,73,12,1,1,0.28,0.0,6,0,"",1,15,0,13,0,0,push:73d release:407d commits:1 active_maint:0 closed:13 merged:13,https://science.ecosyste.ms/projects/1792
1492,OGRe,https://github.com/bshoshany/ogre,dormant,98.0,4.897839799950911,0,Scientific Software,Peer-reviewed,Wolfram Language,bshoshany,Barak Shoshany,user,Brock University,http://baraksh.com/,,,0,,,,143,0,,,89,1,1,1,0.0,0.0,0,0,"",2,0,2,0,0,0,push:89d commits:1 active_maint:0 closed:2 merged:0,https://science.ecosyste.ms/projects/1778
1493,ukpopulation,https://github.com/nismod/ukpopulation,unknown,95.0,7.89655270164304,0,Scientific Software,Peer-reviewed,Python,nismod,National Infrastructure Systems Model,organization,,www.itrc.org.uk,"conda,pypi",ukpopulation,26,1,0,1,13,0,2094,,1330,6,0,0,0.383177570093458,0.0,2,0,"",0,0,0,0,0,0,push:1330d release:2094d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2805
1494,r2ogs6,https://github.com/joboog/r2ogs6,unknown,100.0,2.8903717578961645,0,Scientific Software,Peer-reviewed,R,joboog,,user,,https://joboog.github.io,,,0,,,,2,0,,,588,6,0,0,0.47657512116316636,0.0,0,0,"",0,0,0,0,0,0,push:588d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/346
1495,Akantu,https://gitlab.com/akantu/akantu,active,89.0,13.88185245204694,0,Scientific Software,Peer-reviewed,,,,,,,pypi,akantu,749,2,0,1,13,0,871,,,53,113,5,0.4409261824658619,0.24778761061946908,0,0,"",,,,,0,0,release:871d commits:113 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/823
