purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:julia/DualNumbers,DualNumbers,julia,dormant,,0,0,,,,,,29,,,,,0,https://github.com/juliadiff/dualnumbers.jl,pkg:julia/DualNumbers,DualNumbers,julia,dormant,,0,0,,,,,,29,,,,,0,https://github.com/juliadiff/dualnumbers.jl
pkg:julia/LearnBase,LearnBase,julia,dead,,1,0,,,,,,28,,,,,0,https://github.com/juliaml/learnbase.jl,pkg:julia/LearnBase,LearnBase,julia,dead,,1,0,,,,,,28,,,,,0,https://github.com/juliaml/learnbase.jl
pkg:julia/DocumentFunction,DocumentFunction,julia,dormant,,0,0,,,,,,28,,,,,0,https://github.com/madsjulia/documentfunction.jl,pkg:julia/DocumentFunction,DocumentFunction,julia,dormant,,0,0,,,,,,28,,,,,0,https://github.com/madsjulia/documentfunction.jl
pkg:julia/TestImages,TestImages,julia,dormant,,0,0,,,,,,26,,,,,0,https://github.com/juliaimages/testimages.jl,pkg:julia/TestImages,TestImages,julia,dormant,,0,0,,,,,,26,,,,,0,https://github.com/juliaimages/testimages.jl
pkg:julia/BioCore,BioCore,julia,unknown,,0,0,,,,,,26,,,,,0,https://github.com/biojulia/biocore.jl,pkg:julia/BioCore,BioCore,julia,unknown,,0,0,,,,,,26,,,,,0,https://github.com/biojulia/biocore.jl
pkg:julia/DataStreams,DataStreams,julia,dead,,1,0,,,,,,23,,,,,0,https://github.com/juliadata/datastreams.jl,pkg:julia/DataStreams,DataStreams,julia,dead,,1,0,,,,,,23,,,,,0,https://github.com/juliadata/datastreams.jl
pkg:julia/DelayEmbeddings,DelayEmbeddings,julia,dormant,,0,0,,,,,,22,,,,,0,https://github.com/juliadynamics/delayembeddings.jl,pkg:julia/DelayEmbeddings,DelayEmbeddings,julia,dormant,,0,0,,,,,,22,,,,,0,https://github.com/juliadynamics/delayembeddings.jl
pkg:julia/Graphics,Graphics,julia,dormant,,0,0,,,,,,20,,,,,0,https://github.com/juliagraphics/graphics.jl,pkg:julia/Graphics,Graphics,julia,dormant,,0,0,,,,,,20,,,,,0,https://github.com/juliagraphics/graphics.jl
pkg:julia/Nettle,Nettle,julia,unknown,,0,0,,,,,,20,,,,,0,https://github.com/juliacrypto/nettle.jl,pkg:julia/Nettle,Nettle,julia,unknown,,0,0,,,,,,20,,,,,0,https://github.com/juliacrypto/nettle.jl
pkg:julia/WordTokenizers,WordTokenizers,julia,dead,,0,0,,,,,,19,,,,,0,https://github.com/juliatext/wordtokenizers.jl,pkg:julia/WordTokenizers,WordTokenizers,julia,dead,,0,0,,,,,,19,,,,,0,https://github.com/juliatext/wordtokenizers.jl
