purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:hex/statix,statix,hex,unknown,,0,0,,,,,,45,,,,,0,https://github.com/lexmag/statix
pkg:hex/elixir_xml_to_map,elixir_xml_to_map,hex,dead,,0,0,,,,,,37,,,,,0,https://github.com/homanchou/elixir-xml-to-map
pkg:hex/quickrand,quickrand,hex,dormant,,0,0,,,,,,36,,,,,0,https://github.com/okeuday/quickrand
pkg:hex/elixlsx,elixlsx,hex,dormant,,0,0,,,,,,33,,,,,0,https://github.com/xou/elixlsx
pkg:hex/premailex,premailex,hex,dormant,,0,1,,,,,,33,,,,,0,https://github.com/danschultzer/premailex
pkg:hex/pot,pot,hex,unknown,,0,0,,,,,,27,,,,,0,https://github.com/yuce/pot
pkg:hex/ex_twilio,ex_twilio,hex,dead,,0,0,,,,,,23,,,,,0,https://github.com/danielberkompas/ex_twilio
pkg:hex/google_gax,google_gax,hex,unknown,broad,0,1,,,,heuristic,,23,,,,,0,https://github.com/googlecloudplatform/elixir-google-api/tree/master/clients/gax
pkg:hex/sendgrid,sendgrid,hex,unknown,,0,0,,,,,,19,,,,,0,https://github.com/alexgaribay/sendgrid_elixir
pkg:hex/hpack_erl,hpack_erl,hex,unknown,,0,0,,,,,,16,,,,,0,https://github.com/joedevivo/hpack
pkg:hex/cowboy_telemetry,cowboy_telemetry,hex,unknown,,0,0,,,,,,15,,,,,0,https://github.com/beam-telemetry/cowboy_telemetry
pkg:hex/exexec,exexec,hex,unknown,,0,0,,,,,,11,,,,,0,https://github.com/ericentin/exexec
pkg:hex/nimble_pool,nimble_pool,hex,dormant,,0,0,,,,,,10,,,,,0,https://github.com/dashbitco/nimble_pool
pkg:hex/ink,ink,hex,dead,,1,0,,,,,,9,,,,,0,https://github.com/ivx/ink
pkg:hex/ordinal,ordinal,hex,unknown,,0,0,,,,,,8,,,,,0,https://github.com/andrewhao/ordinal
pkg:hex/varint,varint,hex,dormant,,0,0,,,,,,7,,,,,0,https://github.com/ahamez/varint
pkg:hex/gen_retry,gen_retry,hex,dead,,1,0,,,,,,5,,,,,0,https://github.com/appcues/gen_retry
pkg:hex/iptools,iptools,hex,unknown,,0,0,,,,,,4,,,,,0,https://github.com/blackfist/iptools
pkg:hex/segment,segment,hex,unknown,,0,0,,,,,,4,,,,,0,https://github.com/stueccles/analytics-elixir
pkg:hex/grpc_cowlib,grpc_cowlib,hex,dead,,1,0,,,,,,3,,,,,0,https://github.com/elixir-grpc/cowlib
pkg:hex/grpc_gun,grpc_gun,hex,unknown,,0,0,,,,,,3,,,,,0,https://github.com/elixir-grpc/gun
pkg:hex/verl,verl,hex,unknown,,0,0,,,,,,2,,,,,0,https://github.com/jelly-beam/verl
pkg:hex/kayrock,kayrock,hex,dormant,,0,0,,,,,,1,,,,,0,https://github.com/kafkaex/kayrock
pkg:hex/pc,pc,hex,dormant,,0,0,,,,,,1,,,,,0,https://github.com/blt/port_compiler
pkg:hex/lru,lru,hex,unknown,,0,0,,,,,,1,,,,,0,https://gitlab.com/barrel-db/erlang-lru
